rater,pair_id,shown_a,shown_b,pick,winner,ms,study
881ab33afe,ads2-redo:harbor:heygen-vs-omni,heygen,omni,b,omni,75792,6aaf887218ee882342b2fe2d
881ab33afe,ads2-redo:lantern:heygen-vs-omni,heygen,omni,b,omni,43293,6aaf887218ee882342b2fe2d
881ab33afe,ads2-redo:orchard:heygen-vs-omni,omni,heygen,a,omni,45669,6aaf887218ee882342b2fe2d
881ab33afe,ads2-redo:quiet:omni-vs-wan3,omni,wan3,b,wan3,44015,6aaf887218ee882342b2fe2d
881ab33afe,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,a,heygen,52804,6aaf887218ee882342b2fe2d
2a3fe94b6d,ads2-redo:harbor:omni-vs-seedance2,omni,seedance2,tie,,50591,6aaf38e61e8bf3afc8f53d0c
2a3fe94b6d,ads2-redo:lantern:omni-vs-seedance2,omni,seedance2,b,seedance2,50767,6aaf38e61e8bf3afc8f53d0c
2a3fe94b6d,ads2-redo:orchard:omni-vs-seedance2,omni,seedance2,tie,,47919,6aaf38e61e8bf3afc8f53d0c
2a3fe94b6d,ads2-redo:quiet:omni-vs-wan3,wan3,omni,b,omni,46705,6aaf38e61e8bf3afc8f53d0c
2a3fe94b6d,ads2-redo:slowroad:omni-vs-seedance2,omni,seedance2,b,seedance2,48345,6aaf38e61e8bf3afc8f53d0c
8a1bd173c9,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,b,seedance2,59243,6aaf887218ee882342b2fe2d
8a1bd173c9,ads2-redo:lantern:heygen-vs-seedance2,seedance2,heygen,b,heygen,48968,6aaf887218ee882342b2fe2d
8a1bd173c9,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,b,seedance2,46767,6aaf887218ee882342b2fe2d
8a1bd173c9,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,67689,6aaf887218ee882342b2fe2d
8a1bd173c9,ads2-redo:slowroad:heygen-vs-seedance2,seedance2,heygen,a,seedance2,134441,6aaf887218ee882342b2fe2d
e141147cd2,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,tie,,25282,6aaf887218ee882342b2fe2d
e141147cd2,ads2-redo:lantern:seedance2-vs-wan3,seedance2,wan3,a,seedance2,15515,6aaf887218ee882342b2fe2d
e141147cd2,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,b,seedance2,10475,6aaf887218ee882342b2fe2d
e141147cd2,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,b,seedance2,158764,6aaf887218ee882342b2fe2d
e141147cd2,ads2-redo:slowroad:seedance2-vs-wan3,wan3,seedance2,a,wan3,30747,6aaf887218ee882342b2fe2d
a3abf43853,ads2-redo:harbor:seedance2-vs-wan3,seedance2,wan3,b,wan3,92379,6aaf887218ee882342b2fe2d
a3abf43853,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,a,wan3,56613,6aaf887218ee882342b2fe2d
a3abf43853,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,a,wan3,45647,6aaf887218ee882342b2fe2d
a3abf43853,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,b,wan3,48142,6aaf887218ee882342b2fe2d
a3abf43853,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,a,seedance2,59543,6aaf887218ee882342b2fe2d
068c6f8c15,ads2-redo:harbor:heygen-vs-seedance2,seedance2,heygen,b,heygen,68487,6aaf38e61e8bf3afc8f53d0c
068c6f8c15,ads2-redo:lantern:heygen-vs-seedance2,seedance2,heygen,a,seedance2,44002,6aaf38e61e8bf3afc8f53d0c
068c6f8c15,ads2-redo:orchard:heygen-vs-seedance2,seedance2,heygen,a,seedance2,42783,6aaf38e61e8bf3afc8f53d0c
068c6f8c15,ads2-redo:quiet:heygen-vs-seedance2,seedance2,heygen,a,seedance2,44797,6aaf38e61e8bf3afc8f53d0c
068c6f8c15,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,b,seedance2,48695,6aaf38e61e8bf3afc8f53d0c
fe590eee08,ads2-redo:harbor:heygen-vs-wan3,wan3,heygen,a,wan3,44928,6aaf38e61e8bf3afc8f53d0c
fe590eee08,ads2-redo:lantern:heygen-vs-wan3,wan3,heygen,b,heygen,44173,6aaf38e61e8bf3afc8f53d0c
fe590eee08,ads2-redo:orchard:heygen-vs-wan3,wan3,heygen,a,wan3,42549,6aaf38e61e8bf3afc8f53d0c
fe590eee08,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,42308,6aaf38e61e8bf3afc8f53d0c
fe590eee08,ads2-redo:slowroad:heygen-vs-wan3,wan3,heygen,tie,,44990,6aaf38e61e8bf3afc8f53d0c
a0be1904e6,ads2-redo:harbor:heygen-vs-wan3,heygen,wan3,a,heygen,49320,6aaf887218ee882342b2fe2d
a0be1904e6,ads2-redo:lantern:heygen-vs-wan3,wan3,heygen,a,wan3,43602,6aaf887218ee882342b2fe2d
a0be1904e6,ads2-redo:orchard:heygen-vs-wan3,wan3,heygen,b,heygen,44433,6aaf887218ee882342b2fe2d
a0be1904e6,ads2-redo:quiet:seedance2-vs-wan3,seedance2,wan3,a,seedance2,49102,6aaf887218ee882342b2fe2d
a0be1904e6,ads2-redo:slowroad:heygen-vs-wan3,wan3,heygen,a,wan3,47781,6aaf887218ee882342b2fe2d
6eb5e6e47f,ads2-redo:harbor:omni-vs-seedance2,omni,seedance2,a,omni,47670,6aaf887218ee882342b2fe2d
6eb5e6e47f,ads2-redo:lantern:omni-vs-seedance2,omni,seedance2,tie,,44918,6aaf887218ee882342b2fe2d
6eb5e6e47f,ads2-redo:orchard:omni-vs-seedance2,omni,seedance2,a,omni,44211,6aaf887218ee882342b2fe2d
6eb5e6e47f,ads2-redo:quiet:heygen-vs-omni,omni,heygen,a,omni,44310,6aaf887218ee882342b2fe2d
6eb5e6e47f,ads2-redo:slowroad:omni-vs-seedance2,omni,seedance2,b,seedance2,45606,6aaf887218ee882342b2fe2d
a4baca6dea,ads2-redo:harbor:heygen-vs-wan3,heygen,wan3,b,wan3,34196,6aaf887218ee882342b2fe2d
a4baca6dea,ads2-redo:lantern:heygen-vs-wan3,wan3,heygen,b,heygen,36814,6aaf887218ee882342b2fe2d
a4baca6dea,ads2-redo:orchard:heygen-vs-wan3,wan3,heygen,a,wan3,18278,6aaf887218ee882342b2fe2d
a4baca6dea,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,b,seedance2,18695,6aaf887218ee882342b2fe2d
a4baca6dea,ads2-redo:slowroad:heygen-vs-wan3,heygen,wan3,b,wan3,103812,6aaf887218ee882342b2fe2d
b7bff10829,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,tie,,74924,6aaf887218ee882342b2fe2d
b7bff10829,ads6-omni:harbor:omni-vs-wan3,wan3,omni,b,omni,67613,6aaf887218ee882342b2fe2d
b7bff10829,ads6-omni:lantern:omni-vs-wan3,wan3,omni,tie,,62681,6aaf887218ee882342b2fe2d
b7bff10829,ads6-omni:orchard:omni-vs-seedance2,seedance2,omni,b,omni,60119,6aaf887218ee882342b2fe2d
b7bff10829,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,tie,,130633,6aaf887218ee882342b2fe2d
2a6a28ba7c,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,b,seedance2,101380,6aaf887218ee882342b2fe2d
2a6a28ba7c,ads6-omni:harbor:omni-vs-wan3,omni,wan3,b,wan3,92959,6aaf887218ee882342b2fe2d
2a6a28ba7c,ads6-omni:lantern:omni-vs-wan3,omni,wan3,a,omni,61894,6aaf887218ee882342b2fe2d
2a6a28ba7c,ads6-omni:orchard:omni-vs-seedance2,omni,seedance2,b,seedance2,68191,6aaf887218ee882342b2fe2d
2a6a28ba7c,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,tie,,105763,6aaf887218ee882342b2fe2d
7d79df8208,ads2-redo:harbor:omni-vs-seedance2,omni,seedance2,tie,,51791,6aaf887218ee882342b2fe2d
7d79df8208,ads2-redo:lantern:omni-vs-seedance2,omni,seedance2,b,seedance2,46757,6aaf887218ee882342b2fe2d
7d79df8208,ads2-redo:orchard:omni-vs-seedance2,seedance2,omni,b,omni,52147,6aaf887218ee882342b2fe2d
7d79df8208,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,b,seedance2,47041,6aaf887218ee882342b2fe2d
