# Labelled exemplars behind the named gating thresholds in probes/.
#
# PROVENANCE. Three kinds of row, and the difference is the point:
#   pixels=<path>     the frame ships here. derive.py re-measures it with the
#                     probe's OWN function and fails if the number does not come
#                     back. A stranger can check it.
#   pixels=withheld,  the render is not retained, but the gate that measured it
#   note cites a      wrote its verdict into shoots/<shoot>/landings.jsonl when the
#   landing ledger    master shipped, and that file IS committed. derive.py
#                     re-reads the number and the verdict from it on every run,
#                     so nudging either one alone fails the build.
#   pixels=withheld,  the source render is not retained and no ledger names it.
#   no ledger         `measured` is the number recorded in the probe's docstring at
#                     derivation time. Attested, not reproducible. Counted
#                     separately, never quietly.
#
# VERDICT is the human call, made before any metric existed. pass and reject are
# the only two that form a bracket. Two other values exist and are reported by
# derive.py rather than dropped:
#   marginal        the human called it neither good nor bad
#   out-of-domain   the probe's question does not apply to this frame
#
# AXIS, not unit. Two constants in one module can share a unit and measure
# unrelated things, so brackets match on axis and never on unit alone.
#
# KNOWN TENSION, recorded rather than resolved: scene_simplicity's b5c is marked
# marginal on the strength of its human verdict, "kinda ok". Its own docstring
# instead places the boundary between b5c (7.51) and T6 (9.50) while setting the
# target to <= 7.5, which are not the same statement. Relabel b5c as pass and
# III_MAX = 7.5 is REFUTED by a hundredth. That call belongs to the author, not
# to whoever wrote this file, so it is flagged here instead of being decided here.
#
probe,item,verdict,measured,axis,pixels,note
bg_detail,take1-final-pro,pass,4.27,bg_gradient,withheld,plain wall + sofa + one picture frame
bg_detail,take3-final-pro,pass,3.61,bg_gradient,withheld,plain bedroom wall + warm lamp
bg_detail,R2-sunrise-beach,reject,7.05,bg_gradient,withheld,
bg_detail,R1-flower-stall,reject,11.64,bg_gradient,withheld,a wall of hundreds of roses and tulips
bg_detail,R3-golden-florist,reject,12.06,bg_gradient,withheld,
bg_detail,assets/exemplar-slowroad-seedance-10s.jpg,pass,2.76,bg_gradient,assets/exemplar-slowroad-seedance-10s.jpg,"shipped master, Slow Road Travel on Seedance 2.0 at 10 s. Side bands are sea and sky, a real background"
bg_detail,assets/exemplar-lantern-wan3-3s.jpg,out-of-domain,1.48,bg_gradient,assets/exemplar-lantern-wan3-3s.jpg,"shipped master, Lantern Street on Wan 3.0 at 3 s. Side bands are an underexposed hallway, so low detail here is darkness, not simplicity"
bg_detail,assets/endcard-orchard-seedance.jpg,out-of-domain,2.32,bg_gradient,assets/endcard-orchard-seedance.jpg,"end card of the Orchard Hill Coffee master. Type on a black field, the side bands hold the ends of the title and no backdrop"
bg_detail,assets/endcard-harbor-wan3.jpg,out-of-domain,1.96,bg_gradient,assets/endcard-harbor-wan3.jpg,"end card of the Harbor Lane Realty master. Type on a black field, there is no backdrop to measure"
scene_simplicity,r3,pass,2.68,scene_gradient,withheld,"human verdict ""perfect"""
scene_simplicity,b5c,marginal,7.51,scene_gradient,withheld,"human verdict ""kinda ok""; see KNOWN TENSION above"
scene_simplicity,T6,reject,9.50,scene_gradient,withheld,"human verdict ""worst"""
scene_simplicity,T3,reject,13.40,scene_gradient,withheld,
scene_simplicity,T2,reject,14.90,scene_gradient,withheld,
scene_simplicity,T4,reject,17.00,scene_gradient,withheld,
eye_eval,worst-labelled-pass,pass,3.30,eye_gradient,withheld,role name not a clip id; restates the docstring conclusion
eye_eval,best-labelled-reject,reject,5.32,eye_gradient,withheld,role name not a clip id
eye_eval,second-reject,reject,11.09,eye_gradient,withheld,
eye_eval,third-reject,reject,11.78,eye_gradient,withheld,
sync_probe,take3-final-pro,pass,-160,mouth_lag_ms,withheld,mouth leads; ship_gate.sh states this bound as -240
sync_probe,M1,pass,-80,mouth_lag_ms,withheld,
sync_probe,F1,pass,-40,mouth_lag_ms,withheld,
sync_probe,G1,pass,40,mouth_lag_ms,withheld,"human verdict ""fine""; worst pass"
sync_probe,G4b,reject,120,mouth_lag_ms,withheld,"human verdict ""the lip sync is a bit off"""
sync_probe,G5b,reject,240,mouth_lag_ms,withheld,"human verdict ""the lip sync is a bit off"""
level_probe,scene-pass-low,pass,3.70,scene_level,withheld,SCENE_MAX re-derived 2026-07-26
level_probe,scene-pass-high,pass,3.80,scene_level,withheld,in the golden set
level_probe,scene-reject,reject,7.70,scene_level,withheld,best of the rejects
mirror_probe,iv-benchmark,pass,0.74,repeat_distance,withheld,share of the unrelated-frame distance
mirror_probe,refill-reject-a,reject,0.00,repeat_distance,withheld,scene refills
mirror_probe,refill-reject-b,reject,0.15,repeat_distance,withheld,best of the rejects
mirror_probe,iv-benchmark-lo,pass,0.31,replay_distance,withheld,iv benchmark band 0.31 to 0.41
mirror_probe,iii-reject-hi,reject,0.14,replay_distance,withheld,iii rejects band 0.02 to 0.14
level_probe,iv-standard-face,pass,4.20,face_level,withheld,the standard I set; docstring also states 7.9 for this clip
level_probe,iv-standard-face-alt,pass,7.90,face_level,withheld,the conflicting figure for the SAME clip; kept as the worst pass so the bracket is the tight one
level_probe,iii-night-face,reject,22.00,face_level,withheld,avatar_iii raw on a hard-rim night look
level_probe,iv-standard-relation,pass,10.30,relation_level,withheld,the standard I set
level_probe,iii-night-relation,reject,24.00,relation_level,withheld,avatar_iii raw on a hard-rim night look
scene_simplicity,assets/exemplar-slowroad-seedance-10s.jpg,pass,3.51,scene_gradient,assets/exemplar-slowroad-seedance-10s.jpg,"shipped master, Slow Road Travel on Seedance 2.0 at 10 s. The eye approved it and it was delivered"
coherence_probe,r16-human-anchor,pass,0.116,rest_fraction,withheld,eye verified band 0.10 to 0.17
coherence_probe,human-bakery,pass,0.106,rest_fraction,withheld,the tune-down round measurably raised it
coherence_probe,smooth-bakery,reject,0.065,rest_fraction,withheld,best of the rejects
coherence_probe,smooth-beach,reject,0.007,rest_fraction,withheld,called robotic
coherence_probe,regen-beach,reject,0.000,rest_fraction,withheld,called robotic
coherence_probe,calm-wave,out-of-domain,0.130,rest_fraction,withheld,KNOWN CONFOUND in the probe's own docstring: rejected on another axis while passing rest at 0.11 to 0.15
mirror_probe,frozen-control,reject,0.7,replay_signal,samples/frozen-control-slowroad.mp4,"one frame of the Slow Road master held for 40 s, no signal by construction"
mirror_probe,live-take,pass,6982.6,replay_signal,samples/exemplar-harbor-wan3-live.mp4,"the first 16 s of the Harbor Lane Realty master on Wan 3.0, a real take with a moving scene"
mirror_probe,static-band-incident,reject,0.60,replay_signal,withheld,recorded in the probe's docstring: a control of 0.6 exonerated a clip that ping-ponged at t=80
mouth_sync_probe,ads5-orchard-final-v3.mp4,pass,0.3,mouth_corr,withheld,"shipped master, ads5/landings.jsonl records PASS"
mouth_sync_probe,ads5-orchard-final-v3.mp4,pass,0.08,mouth_lag_abs_s,withheld,"shipped master, ads5/landings.jsonl records PASS"
mouth_sync_probe,ads5-lantern-final-v5.mp4,pass,0.19,mouth_corr,withheld,"shipped master, ads5/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads5-lantern-final-v5.mp4,pass,0.16,mouth_lag_abs_s,withheld,"shipped master, ads5/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads5-harbor-final-v3.mp4,pass,0.34,mouth_corr,withheld,"shipped master, ads5/landings.jsonl records PASS"
mouth_sync_probe,ads5-harbor-final-v3.mp4,pass,0.12,mouth_lag_abs_s,withheld,"shipped master, ads5/landings.jsonl records PASS"
mouth_sync_probe,ads5-slowroad-final-v4.mp4,pass,0.22,mouth_corr,withheld,"shipped master, ads5/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads5-slowroad-final-v4.mp4,pass,0.04,mouth_lag_abs_s,withheld,"shipped master, ads5/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads5-lantern-final-v7.mp4,pass,0.22,mouth_corr,withheld,"shipped master, ads5/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads5-lantern-final-v7.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads5/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads5-harbor-final-v5.mp4,pass,0.34,mouth_corr,withheld,"shipped master, ads5/landings.jsonl records PASS"
mouth_sync_probe,ads5-harbor-final-v5.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads5/landings.jsonl records PASS"
mouth_sync_probe,ads6omni-orchard-final-v1.mp4,pass,0.31,mouth_corr,withheld,"shipped master, ads6-omni/landings.jsonl records PASS"
mouth_sync_probe,ads6omni-orchard-final-v1.mp4,pass,0.08,mouth_lag_abs_s,withheld,"shipped master, ads6-omni/landings.jsonl records PASS"
mouth_sync_probe,ads6omni-lantern-final-v1.mp4,pass,0.22,mouth_corr,withheld,"shipped master, ads6-omni/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads6omni-lantern-final-v1.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads6-omni/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads6omni-harbor-final-v2.mp4,pass,0.35,mouth_corr,withheld,"shipped master, ads6-omni/landings.jsonl records PASS"
mouth_sync_probe,ads6omni-harbor-final-v2.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads6-omni/landings.jsonl records PASS"
mouth_sync_probe,ads6omni-slowroad-final-v1.mp4,pass,0.22,mouth_corr,withheld,"shipped master, ads6-omni/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads6omni-slowroad-final-v1.mp4,pass,0.04,mouth_lag_abs_s,withheld,"shipped master, ads6-omni/landings.jsonl records REVIEW, eye approved"
mouth_sync_probe,ads7-gemini-final-v1.mp4,pass,0.45,mouth_corr,withheld,"shipped master, ads7-real/landings.jsonl records PASS"
mouth_sync_probe,ads7-gemini-final-v1.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads7-real/landings.jsonl records PASS"
mouth_sync_probe,ads7-chatgpt-final-v1.mp4,pass,0.14,mouth_corr,withheld,"shipped master, ads7-real/landings.jsonl records REVIEW"
mouth_sync_probe,ads7-chatgpt-final-v1.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads7-real/landings.jsonl records REVIEW"
mouth_sync_probe,ads7-perplexity-final-v1.mp4,pass,0.19,mouth_corr,withheld,"shipped master, ads7-real/landings.jsonl records REVIEW"
mouth_sync_probe,ads7-perplexity-final-v1.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads7-real/landings.jsonl records REVIEW"
mouth_sync_probe,ads7-metaai-final-v1.mp4,pass,0.36,mouth_corr,withheld,"shipped master, ads7-real/landings.jsonl records PASS"
mouth_sync_probe,ads7-metaai-final-v1.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads7-real/landings.jsonl records PASS"
mouth_sync_probe,ads7-pics-final-v1.mp4,pass,0.23,mouth_corr,withheld,"shipped master, ads7-real/landings.jsonl records REVIEW"
mouth_sync_probe,ads7-pics-final-v1.mp4,pass,0.0,mouth_lag_abs_s,withheld,"shipped master, ads7-real/landings.jsonl records REVIEW"
